#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
69.29361,60,161086.755171,12,0,1,59,22.000000000000007,0.9232041087263828,1.8404850733181064,0.060465435560098965,0,12,20
61.733646,60,161089.391341,11,0,4,56,13.400000000000002,0.433172895589489,0.8941499956608453,0.08047091408970351,1,11,20
72.6287,60,161092.222501,13,0,0,60,19.000000000000004,0.5756582169000837,1.3996052972906745,0.040343997282346,0,13,20
65.09257,60,161092.222623,11,0,2,58,17.000000000000004,0.583711073059498,1.3177445496747664,0.05572442887867299,0,11,20
74.198524,60,161092.22265,14,0,1,59,16.8,0.7507490500210792,1.4281972533146223,0.05628890733108221,0,14,20
78.29296,60,161092.22267,15,0,1,59,22.200000000000003,0.7835253492671789,1.6905814966018573,0.06656918904829158,0,15,20
79.77113,60,161110.252018,15,0,0,60,22.200000000000006,0.5444370611331996,1.336168211571345,0.042233153336490165,0,15,20
71.44937,60,161131.665581,13,0,1,59,15.600000000000001,0.4253208329483189,1.1452598533288694,0.04176159829812525,0,13,20
76.416626,60,161160.296038,15,0,0,60,20.599999999999998,1.4216830609188913,2.5112191401968356,0.08064463754405252,1,15,20
87.05988,60,161191.942488,18,0,1,59,19.6,0.7200850086529511,1.486471092108382,0.05408334331621665,0,18,20
78.768906,60,161208.256997,15,0,1,59,23.0,0.8755553189421806,1.7873068708531479,0.056691574570955625,0,15,20
75.67884,60,161227.991533,14,0,0,60,19.599999999999998,0.6805843975735644,1.4423411936087556,0.07675662985846256,0,14,20
69.10125,60,161242.511393,12,0,0,60,20.60000000000001,0.7893755485402546,1.741227221122544,0.061647054195819916,0,12,20
77.56023,60,161245.038658,15,0,3,57,19.0,0.39990111891726055,0.9353877226063473,0.04534479094269199,0,15,20
76.42806,60,161247.43201,15,0,3,57,16.6,0.6259988593297583,1.1073546125110256,0.10740740318263059,0,15,20
71.34558,60,161250.111559,13,0,1,59,17.400000000000002,0.7872155960965984,1.7083015921400853,0.07825743999479855,0,13,20
67.31989,60,161252.763539,12,0,2,58,17.6,1.0200498524968455,1.9590936551995908,0.0917465501119901,0,12,20
77.503136,60,161252.763652,15,0,1,59,17.2,0.7184410802375051,1.5134900484561908,0.07374721873409613,0,15,20
66.19633,60,161252.763683,11,0,1,59,22.200000000000003,1.0618393099511105,2.0145646297302306,0.08554919870270317,0,11,20
69.99306,60,161252.763705,12,0,0,60,20.600000000000005,0.6534729267700065,1.458962369140441,0.0759787593347563,0,12,20
66.148415,60,161271.087459,11,0,0,60,21.400000000000006,1.1357920061102682,2.2753636298835267,0.08279661786984643,0,11,20
71.435425,60,161290.20252,13,0,2,58,19.6,0.7622999430105755,1.4109520013130072,0.11718774117750573,0,13,20
71.31549,60,161314.245485,13,0,2,58,18.6,0.6722617735076377,1.4741229456073823,0.05407297179088804,0,13,20
79.197235,60,161345.853489,16,0,2,58,21.0,1.0914025292922158,1.881946084106488,0.07197293058911482,1,16,20
73.67001,60,161361.261133,14,0,4,56,19.2,0.5450028959175456,1.2450516376514116,0.08108847036500683,0,14,20
76.2945,60,163248.293033,15,0,2,58,18.8,0.7127520088109234,1.3732461166635008,0.06924305093988406,1,15,20
66.30368,60,163261.593366,11,0,2,58,22.600000000000005,0.75815853894583,1.6284263360130433,0.03416120161075666,0,11,20
